Month,Year, Sydney, Melbourne, Brisbane, Adelaide, Perth, Hobart, Darwin, Canberra
9,2003,371000,276000,221000,182500,195000,165000,130000,290000
12,2003,387000,285000,241600,191000,198000,175000,135500,300000
3,2004,380000,272500,249000,193500,208000,192000,147100,295000
6,2004,380000,280000,249000,200000,215000,192800,152000,300000
9,2004,380000,276000,264000,220000,215000,195000,156500,280000
12,2004,390000,281000,267000,220000,229000,200000,171000,289000
3,2005,385000,285000,257000,212000,235000,220000,175000,304500
6,2005,387000,287000,265000,216500,247500,233500,207000,307800
9,2005,380000,286000,271700,225300,255000,200000,195000,305000
12,2005,383000,290000,280000,228800,276000,215000,225000,308000
3,2006,375000,299500,280000,225000,292000,225000,235000,310000
6,2006,390000,306600,295000,235000,332500,229000,245000,325000
9,2006,380000,315000,292000,240000,350000,230000,246500,312000
12,2006,393100,315000,298000,246000,362500,231000,260000,317500
3,2007,380000,320000,305000,245000,370000,240000,280000,325000
6,2007,395000,340000,325000,265000,370000,240000,302500,355000
9,2007,400000,345000,340000,285000,376000,250000,310000,365000
12,2007,410000,365000,357000,290000,385000,260000,307500,365000
3,2008,397500,360000,360000,295000,380000,245000,306300,370000
6,2008,395000,360000,367000,290000,372300,257000,310000,352000
9,2008,385000,365000,350000,315100,360000,240000,348000,365000
12,2008,373000,350000,350000,300800,350000,245000,329000,360500
3,2009,380000,348000,349800,300000,350000,255000,370000,372500
6,2009,398000,379500,365000,310000,380000,260000,360000,375000
9,2009,423000,392000,370000,310000,390000,270000,377000,378000
12,2009,450000,421000,381000,326800,415000,285000,400000,402500
3,2010,450000,424000,385000,333000,420000,278500,430200,410000
6,2010,480000,450000,392500,337500,417000,280000,430000,413500
9,2010,477000,445000,383800,330500,410000,287500,400000,425000
12,2010,487600,460000,385000,335000,410000,288000,420500,424900
3,2011,479000,445000,379000,339000,405000,291500,415000,415000
6,2011,485000,450000,382500,328500,405000,294000,415000,415000
9,2011,480000,437500,370000,320000,395000,272500,398000,425000
12,2011,460000,432500,380000,327300,400000,275000,399500,415000
3,2012,500000,430000,376000,317000,406000,268800,420000,415000
6,2012,510000,430000,381000,315000,400000,275000,435000,416800
9,2012,487000,425000,387500,325000,400000,275000,410000,411000
12,2012,525000,440000,385000,325000,410000,294000,410500,415500
3,2013,520000,435000,392000,325000,430000,276800,445000,410000
6,2013,530000,442000,395000,330000,426000,285000,450000,412500
9,2013,550000,445000,395000,324000,430000,266000,459800,415000
12,2013,565000,467000,400000,330000,450000,295000,481000,420500
3,2014,591500,475500,405000,326000,445000,275000,496100,410000
6,2014,610000,479000,414000,345000,452000,282000,465000,410000
9,2014,620000,478500,420000,342500,442000,267500,485000,410000
12,2014,650000,490000,420000,345000,445000,279500,465000,422000
3,2015,657000,480800,420000,345000,440000,285000,485000,420000
6,2015,705000,515000,425000,345000,434500,286000,450000,425000
9,2015,710000,500000,425000,344500,425000,296000,475000,415000
12,2015,723000,505000,420000,345000,430000,292000,460000,419900
3,2016,706500,490000,415000,345000,430000,295800,469600,425000
6,2016,720000,505000,413000,367000,410000,307500,437500,435000
9,2016,710000,496000,420000,365000,425000,290000,342500,428500
12,2016,735000,501900,410000,365000,410000,305000,381100,430000
3,2017,730000,520000,405000,365000,415000,315000,375000,429900
6,2017,770000,568900,392500,383500,405000,300000,375000,445000
9,2017,720000,540000,400000,375000,405000,320000,375000,434500
12,2017,741000,568000,391000,390000,410000,330000,340000,445500
3,2018,742000,565000,385000,370000,400000,338500,328000,436000
6,2018,730000,600000,385000,380000,408000,356000,338000,431500
9,2018,730000,568000,385000,380000,395000,358000,335000,445000
12,2018,725000,565000,390000,371000,392000,375000,340000,447900
3,2019,695000,555000,387800,400000,387500,390000,292500,450000
6,2019,700000,560000,390000,390000,379000,382500,306500,450000
9,2019,710000,570000,397500,380000,380000,385000,285000,456900
12,2019,736000,600000,399000,385000,380000,400000,320000,473300
3,2020,730000,593000,390000,390000,380000,425000,299000,460000
6,2020,730000,600000,386500,421300,350000,394500,272000,460000
9,2020,730000,595000,400000,411800,385000,420000,285000,488000
12,2020,745000,620000,415000,415300,400000,440000,292500,498000
3,2021,755000,630000,420000,425000,415000,472000,340000,505000
6,2021,780000,650000,425000,416300,420000,500000,375000,543000
9,2021,800000,640000,435000,426000,415000,530000,361800,530000
12,2021,795000,675000,451000,450000,415000,573000,382000,590000
3,2022,780000,651000,460000,460000,410000,586300,403500,585000
6,2022,770000,660000,472000,465000,402000,570000,405000,600000
9,2022,750000,635000,475000,485000,400000,560000,375000,590000
12,2022,750000,605000,480000,480000,395000,563300,390000,589000
