Month,Year,Sydney,Melbourne,Brisbane, Adelaide,Perth,Hobart,Darwin,Canberra,
3,2002,365000.0,241000.0,185000.0,166000.0,190000.0,123300.0,190000.0,245000,3
6,2002,393500.0,260000.0,182600.0,175000.0,190000.0,117000.0,188300.0,258000,6
9,2002,413000.0,265000.0,198000.0,181000.0,195000.0,124000.0,190000.0,275000,9
12,2002,444000.0,280000.0,208000.0,195000.0,206000.0,128000.0,195000.0,291000,12
3,2003,434500.0,270000.0,225000.0,209400.0,216000.0,145000.0,198000.0,300000,
6,2003,460000.0,287500.0,240000.0,220500.0,225000.0,149000.0,200500.0,334500,
9,2003,480000.0,295000.0,269000.0,235000.0,236000.0,165000.0,214000.0,360000,
12,2003,520000.0,320000.0,296400.0,247500.0,250000.0,182300.0,226000.0,375000,
3,2004,523000.0,305000.0,302700.0,250000.0,255000.0,200000.0,239500.0,375000,
6,2004,498000.0,307500.0,305000.0,257500.0,262000.0,225000.0,248800.0,375000,
9,2004,500000.0,302000.0,305000.0,261000.0,259000.0,230000.0,245000.0,352500,
12,2004,515000.0,321000.0,310000.0,270000.0,280000.0,237300.0,259000.0,372000,
3,2005,486000.0,310000.0,312000.0,270000.0,290000.0,240000.0,275000.0,374700,
6,2005,500000.0,320000.0,312000.0,271000.0,300000.0,250000.0,280000.0,373500,
9,2005,490000.0,320000.0,314900.0,275000.0,315000.0,245000.0,295000.0,365000,
12,2005,500000.0,332000.0,320000.0,280000.0,340000.0,252500.0,320000.0,387000,
3,2006,470000.0,330000.0,325000.0,280000.0,370000.0,260000.0,341500.0,385000,
6,2006,495000.0,345000.0,330000.0,286000.0,415000.0,270000.0,349500.0,399500,
9,2006,482000.0,346000.0,335000.0,290000.0,450000.0,270000.0,360000.0,413000,
12,2006,500000.0,360000.0,343500.0,300000.0,470000.0,278000.0,380000.0,420800,
3,2007,480000.0,345000.0,352000.0,305000.0,475000.0,280000.0,389500.0,430000,
6,2007,512300.0,362000.0,375000.0,315000.0,465000.0,291500.0,395000.0,445000,
9,2007,514000.0,370000.0,390000.0,335000.0,475000.0,285000.0,400000.0,460000,
12,2007,540000.0,410000.0,415000.0,358000.0,480000.0,310000.0,418500.0,468000,
3,2008,495000.0,385000.0,425000.0,360000.0,470000.0,308500.0,420000.0,470000,
6,2008,517000.0,400000.0,425000.0,365000.0,455000.0,305000.0,422300.0,474000,
9,2008,482000.0,385000.0,410000.0,360000.0,440000.0,292500.0,430000.0,447000,
12,2008,468000.0,385000.0,399000.0,355000.0,425000.0,300000.0,445000.0,450000,
3,2009,448000.0,375000.0,400000.0,353500.0,439000.0,296500.0,455000.0,459500,
6,2009,490000.0,400000.0,420000.0,363000.0,455000.0,310000.0,465000.0,455000,
9,2009,500000.0,422000.0,430000.0,370000.0,473000.0,310100.0,490000.0,456000,
12,2009,595000.0,477500.0,455000.0,398800.0,505000.0,350000.0,520000.0,509000,
3,2010,583000.0,468000.0,460000.0,402000.0,518000.0,350500.0,529000.0,530000,
6,2010,612500.0,500000.0,465000.0,410000.0,510000.0,343800.0,530000.0,516200,
9,2010,598000.0,488300.0,460000.0,400000.0,500000.0,340000.0,535000.0,530000,
12,2010,620000.0,520000.0,460000.0,410000.0,500000.0,345000.0,545000.0,534500,
3,2011,575000.0,485000.0,450000.0,400000.0,500000.0,338000.0,510000.0,530000,
6,2011,592000.0,502500.0,442000.0,395000.0,485000.0,330000.0,500000.0,533000,
9,2011,567000.0,487000.0,433000.0,390000.0,470000.0,335000.0,497000.0,490000,
12,2011,533000.0,495000.0,430000.0,385000.0,480000.0,337500.0,515000.0,500000,
3,2012,607500.0,478000.0,430000.0,382000.0,489500.0,343000.0,525000.0,512500,
6,2012,600000.0,485000.0,435000.0,385000.0,499000.0,327500.0,543500.0,482500,
9,2012,585000.0,480000.0,435000.0,386000.0,495000.0,315000.0,540000.0,490000,
12,2012,640000.0,508000.0,440000.0,395000.0,510000.0,331300.0,561000.0,519000,
3,2013,615000.0,486000.0,440000.0,395000.0,520000.0,340000.0,530000.0,505000,
6,2013,650000.0,500000.0,445000.0,395000.0,529000.0,330000.0,540000.0,510000,
9,2013,670000.0,520000.0,449000.0,395000.0,520000.0,325000.0,570000.0,505000,
12,2013,745000.0,561000.0,465000.0,412000.0,552000.0,350000.0,579000.0,503300,
3,2014,680000.0,504000.0,448000.0,407000.0,530500.0,360000.0,595000.0,553700,
6,2014,728000.0,528900.0,459000.0,405000.0,525000.0,340000.0,557500.0,550000,
9,2014,730000.0,505000.0,451000.0,410000.0,530000.0,345000.0,570000.0,554000,
12,2014,816000.0,552500.0,467000.0,425000.0,531000.0,356500.0,581000.0,570000,
3,2015,792500.0,525000.0,462800.0,415500.0,536500.0,360000.0,570000.0,585000,
6,2015,860000.0,561000.0,465000.0,420000.0,537000.0,350000.0,595000.0,580000,
9,2015,888200.0,580000.0,475000.0,427500.0,520000.0,340000.0,580000.0,587500,
12,2015,915000.0,612300.0,490000.0,436000.0,525000.0,370000.0,575000.0,615000,
3,2016,850000.0,568000.0,483500.0,436000.0,518000.0,360000.0,570000.0,590000,
6,2016,895000.0,610000.0,495000.0,440000.0,520000.0,365000.0,548000.0,623000,
9,2016,900000.0,605000.0,500000.0,445000.0,510000.0,370000.0,520000.0,615800,
12,2016,985500.0,675000.0,515000.0,447000.0,525000.0,392000.0,522000.0,636000,
3,2017,930000.0,657500.0,510000.0,451300.0,510000.0,389500.0,530000.0,654500,
6,2017,1050000.0,720000.0,518000.0,450000.0,506000.0,400000.0,500000.0,670000,
9,2017,950000.0,692000.0,525000.0,451000.0,500000.0,395000.0,500000.0,667500,
12,2017,1029000.0,750000.0,535000.0,470000.0,515000.0,421000.0,513800.0,690000,
3,2018,955000.0,731000.0,526000.0,465000.0,510000.0,449000.0,500000.0,698500,
6,2018,973100.0,750000.0,532000.0,468000.0,510000.0,457800.0,506000.0,690000,
9,2018,950000.0,720000.0,540000.0,466300.0,485000.0,440300.0,500000.0,700000,
12,2018,940000.0,735000.0,540000.0,480000.0,489000.0,465000.0,510000.0,720000,
3,2019,870000.0,685000.0,533000.0,475000.0,490000.0,471500.0,485000.0,690000,
6,2019,897000.0,700000.0,538000.0,478500.0,480000.0,490000.0,470000.0,715000,
9,2019,900000.0,705000.0,540000.0,474000.0,478000.0,480000.0,489000.0,676000,
12,2019,985000.0,760000.0,550000.0,485000.0,495000.0,517000.0,470000.0,745000,
3,2020,947500.0,730000.0,540000.0,472000.0,477500.0,529000.0,470000.0,720500,
6,2020,955000.0,720000.0,547000.0,487500.0,475000.0,520000.0,465000.0,720000,
9,2020,945000.0,710000.0,555000.0,500000.0,495000.0,528500.0,500000.0,755000,
12,2020,1010000.0,775000.0,575000.0,512500.0,530000.0,568900.0,525000.0,785000,
3,2021,1060000.0,846000.0,607000.0,525000.0,540000.0,610000.0,535000.0,832000,
6,2021,1200000.0,910000.0,650000.0,554000.0,550000.0,630000.0,565000.0,902000,
9,2021,1280000.0,930000.0,684500.0,585000.0,529000.0,700000.0,578000.0,940300,
12,2021,1336000.0,1040000.0,775000.0,635000.0,560000.0,755000.0,590000.0,1040000,
3,2022,1300000.0,985000.0,800000.0,660000.0,555000.0,770000.0,600000.0,1075000,
6,2022,1320000.0,980000.0,800000.0,677800.0,566000.0,761500.0,587000.0,1053000,
9,2022,1275000.0,902000.0,765000.0,665000.0,557000.0,715000.0,560000.0,990000,
12,2022,1270000.0,842000.0,750000.0,680000.0,580000.0,727000.0,600000.0,999000,
