Month,Year,Sydney ,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
3,2002,13078,16024,11042,5534,8929,1482,432,1553
6,2002,15569,17304,11948,5574,8286,1475,472,1773
9,2002,16761,15888,11772,4983,7340,1491,512,1411
12,2002,15447,16320,11552,5139,7673,1474,469,1504
3,2003,13734,14699,13572,5229,9446,1607,497,1386
6,2003,16415,16655,13095,5317,9902,1561,562,1617
9,2003,17027,17317,14494,4831,8247,1594,642,1437
12,2003,11847,14573,9212,4597,6893,1258,630,1232
3,2004,10210,12802,9169,4648,7688,1262,542,1031
6,2004,11922,13623,8421,4499,6773,1094,536,1145
9,2004,10240,13974,8546,4462,8522,976,586,843
12,2004,10843,14959,8295,4588,7680,1000,573,1168
3,2005,8967,13292,8731,4412,8619,875,596,1002
6,2005,10272,15115,8287,4424,8604,852,567,1071
9,2005,10834,14188,8955,4516,8947,980,586,1037
12,2005,9786,15709,8485,4512,9147,1020,566,1205
3,2006,10484,12882,10005,4842,10203,1243,554,1141
6,2006,11867,14022,9189,4928,8864,1124,514,1294
9,2006,11078,14401,9954,4774,7184,956,535,1136
12,2006,11450,15088,9627,4955,5860,971,495,1318
3,2007,11641,15291,12341,5396,6548,1210,496,1308
6,2007,13978,17528,11698,5762,6139,1195,450,1260
9,2007,13014,17375,11840,5457,6151,1062,464,1259
12,2007,12960,18143,10406,5334,6314,1096,411,1380
3,2008,9631,13154,8405,4567,5487,939,357,960
6,2008,10618,14039,6616,4437,4356,811,388,1021
9,2008,10653,13119,7103,4166,5020,782,439,1000
12,2008,11240,13092,6938,4225,4254,860,459,988
3,2009,12259,13091,9329,4585,5916,1100,425,1122
6,2009,14318,15315,8806,4877,7148,1001,469,1319
9,2009,14816,16313,9068,4473,7701,1033,436,1381
12,2009,12786,16586,7844,4234,6635,921,363,1297
3,2010,11091,14148,7640,3993,6401,976,339,971
6,2010,12610,15641,6869,4197,5064,841,310,1234
9,2010,11334,13632,6930,4128,5131,840,278,1042
12,2010,11704,13141,6385,4009,4959,837,277,1324
3,2011,9917,10767,5874,3719,5661,849,270,1001
6,2011,11165,12686,5954,3667,5145,708,315,1187
9,2011,11397,11960,6615,3566,5454,680,335,1201
12,2011,13950,12819,6447,3566,5784,769,425,1214
3,2012,9593,11757,6811,3681,5995,751,458,1099
6,2012,10923,12839,6179,3671,5528,682,388,1235
9,2012,11449,12194,7809,3641,6091,674,432,1125
12,2012,12333,14223,7515,3874,6471,790,424,1243
3,2013,10971,12584,7588,3851,7931,814,449,1123
6,2013,13403,15568,8342,4314,7971,817,436,1337
9,2013,13981,14532,9131,4194,7945,857,450,1290
12,2013,15556,17118,9466,4476,8020,829,441,1353
3,2014,13416,12426,9595,4253,8222,935,372,982
6,2014,15183,14354,9212,4230,7635,931,452,1044
9,2014,14759,14032,9747,4096,7304,786,414,960
12,2014,16311,16407,9365,4502,6864,940,352,1216
3,2015,13518,13871,9498,4383,6830,945,306,1013
6,2015,14472,16787,10231,4489,6336,924,291,1071
9,2015,15306,16128,10729,4381,5539,885,248,1048
12,2015,13527,16165,9829,4422,5627,960,244,1262
3,2016,10527,11654,9405,4143,5857,925,226,883
6,2016,12638,15066,9625,4226,5969,922,247,1060
9,2016,12351,14109,9588,4023,5628,859,261,994
12,2016,13846,16565,9476,4515,5609,1063,259,1239
3,2017,11314,13358,9089,4256,6206,1113,245,1006
6,2017,12280,15375,8951,4221,5845,982,244,1068
9,2017,12582,14913,8971,4079,5762,917,252,956
12,2017,12012,16039,9006,4455,6030,1059,246,1279
3,2018,9935,12344,8475,4097,6005,989,245,950
6,2018,10879,13531,8497,4149,5676,935,236,1057
9,2018,9720,12138,8337,4014,5875,896,257,881
12,2018,9621,12270,7867,4282,5752,907,249,1026
3,2019,8565,10284,7380,3793,5717,903,221,777
6,2019,10397,12317,7514,3944,5676,836,223,979
9,2019,12196,12832,8520,4016,6013,872,230,1207
12,2019,13545,15628,8429,4215,6229,877,239,1321
3,2020,10009,11249,7605,3625,5782,781,221,1035
6,2020,9532,9335,6917,3354,5297,647,209,1008
9,2020,14050,7227,10023,4291,7847,756,262,1424
12,2020,15146,14545,10812,4407,8783,786,305,1636
3,2021,12048,12737,10685,4348,8562,866,334,1231
6,2021,12232,12762,10370,4628,7769,757,401,1321
9,2021,10825,9146,11468,4544,6629,783,413,1122
12,2021,12200,14921,11391,5110,7101,765,410,1470
3,2022,8745,10543,9044,4623,7192,847,394,960
6,2022,8717,11071,8360,5116,6521,830,413,1144
9,2022,8890,9752,8184,4746,6585,677,384,1099
12,2022,9262,9447,7189,4231,6153,483,322,781
