Suburb,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,Cluster group
Alexander Heights,0.0,0.0,0.0,1.0,0.0,cluster-4
Alfred Cove,0.0,0.0,0.0,0.7391304347826086,0.2608695652173913,cluster-4
Alkimos,0.0,0.01,0.99,0.0,0.0,cluster-3
Anketell,0.0,0.0,0.5833333333333334,0.0,0.4166666666666667,cluster-3
Applecross,0.0,0.0,0.0,0.32051282051282054,0.6794871794871795,cluster-5
Ardross,0.0,0.0,0.0,0.43859649122807015,0.5614035087719298,cluster-5
Armadale,0.9824561403508771,0.0,0.0,0.0,0.017543859649122806,cluster-1
Ascot,0.0,0.0,0.0,0.8728813559322034,0.1271186440677966,cluster-4
Ashby,0.0,0.0,0.9030303030303031,0.09696969696969697,0.0,cluster-3
Ashfield,0.0,0.0,0.0,0.9705882352941176,0.029411764705882353,cluster-4
Attadale,0.0,0.0,0.0,0.3177570093457944,0.6822429906542056,cluster-5
Atwell,0.0,0.0,0.0,1.0,0.0,cluster-4
Aubin Grove,0.0,0.0,0.15217391304347827,0.8478260869565217,0.0,cluster-4
Aveley,1.0,0.0,0.0,0.0,0.0,cluster-1
Balcatta,0.0,0.0,0.0,1.0,0.0,cluster-4
Baldivis,0.0,0.0,1.0,0.0,0.0,cluster-3
Balga,0.0,0.0,0.0,1.0,0.0,cluster-4
Ballajura,0.0,0.0,0.0,1.0,0.0,cluster-4
Banjup,0.0,0.0,0.0,0.35714285714285715,0.6428571428571429,cluster-5
Banksia Grove,0.0,0.0,1.0,0.0,0.0,cluster-3
Baskerville,0.8,0.0,0.0,0.0,0.2,cluster-1
Bassendean,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333,cluster-4
Bateman,0.0,0.0,0.0,0.875,0.125,cluster-4
Bayswater,0.0,0.0,0.0,1.0,0.0,cluster-4
Beaconsfield,0.0,0.0,0.0,0.8715596330275229,0.12844036697247707,cluster-4
Beckenham,0.5223880597014925,0.0,0.0,0.47761194029850745,0.0,cluster-1
Bedford,0.0,0.0,0.0,0.9651162790697675,0.03488372093023256,cluster-4
Bedfordale,0.9907407407407407,0.0,0.0,0.0,0.009259259259259259,cluster-1
Beechboro,0.0,0.0,0.0,1.0,0.0,cluster-4
Beeliar,0.0,0.0,0.0,1.0,0.0,cluster-4
Beldon,0.0,0.0,0.006993006993006993,0.993006993006993,0.0,cluster-4
Belhus,1.0,0.0,0.0,0.0,0.0,cluster-1
Bellevue,1.0,0.0,0.0,0.0,0.0,cluster-1
Belmont,0.0,0.0,0.0,1.0,0.0,cluster-4
Bennett Springs,0.0,0.0,0.0,1.0,0.0,cluster-4
Bentley,0.0,0.0,0.0,1.0,0.0,cluster-4
Bertram,0.0,0.0,1.0,0.0,0.0,cluster-3
Bibra Lake,0.0,0.0,0.0,0.9917355371900827,0.008264462809917356,cluster-4
Bickley,0.967741935483871,0.0,0.0,0.0,0.03225806451612903,cluster-1
Bicton,0.0,0.0,0.0,0.4342105263157895,0.5657894736842105,cluster-5
Booragoon,0.0,0.0,0.0,0.7674418604651163,0.23255813953488372,cluster-4
Boya,1.0,0.0,0.0,0.0,0.0,cluster-1
Brabham,1.0,0.0,0.0,0.0,0.0,cluster-1
Brentwood,0.0,0.0,0.0,0.8549618320610687,0.1450381679389313,cluster-4
Brigadoon,0.9807692307692307,0.0,0.0,0.0,0.019230769230769232,cluster-1
Brookdale,1.0,0.0,0.0,0.0,0.0,cluster-1
Bull Creek,0.0,0.0,0.0,0.8452380952380952,0.15476190476190477,cluster-4
Bullsbrook,0.9891304347826086,0.010869565217391304,0.0,0.0,0.0,cluster-1
Burns Beach,0.0,0.0,0.8166666666666667,0.0,0.18333333333333332,cluster-3
Burswood,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453,cluster-4
Butler,0.0,0.0,1.0,0.0,0.0,cluster-3
Byford,1.0,0.0,0.0,0.0,0.0,cluster-1
Calista,0.0,0.0,1.0,0.0,0.0,cluster-3
Camillo,1.0,0.0,0.0,0.0,0.0,cluster-1
Canning Vale,0.0,0.0,0.0,1.0,0.0,cluster-4
Cannington,0.0,0.0,0.0,1.0,0.0,cluster-4
Carabooda,0.0,0.0,1.0,0.0,0.0,cluster-3
Cardup,0.9787234042553191,0.0,0.0,0.0,0.02127659574468085,cluster-1
Carine,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,cluster-4
Carlisle,0.0,0.0,0.0,1.0,0.0,cluster-4
Carmel,1.0,0.0,0.0,0.0,0.0,cluster-1
Carramar,0.0,0.0,0.9943502824858758,0.0,0.005649717514124294,cluster-3
Casuarina,0.0,0.0,0.9714285714285714,0.0,0.02857142857142857,cluster-3
Caversham,0.6722689075630253,0.0,0.0,0.3277310924369748,0.0,cluster-1
Champion Lakes,0.9734513274336283,0.0,0.0,0.0,0.02654867256637168,cluster-1
Chidlow,1.0,0.0,0.0,0.0,0.0,cluster-1
Churchlands,0.0,0.0,0.0,0.1322314049586777,0.8677685950413223,cluster-5
City Beach,0.0,0.0,0.0,0.013986013986013986,0.986013986013986,cluster-5
Claremont,0.0,0.0,0.0,0.288135593220339,0.711864406779661,cluster-5
Clarkson,0.0,0.0,1.0,0.0,0.0,cluster-3
Cloverdale,0.0,0.0,0.0,1.0,0.0,cluster-4
Cockburn Central,0.0,0.0,0.0,1.0,0.0,cluster-4
Como,0.0,0.0,0.0,0.603448275862069,0.39655172413793105,cluster-4
Connolly,0.0,0.0,0.6991150442477876,0.23893805309734514,0.061946902654867256,cluster-3
Coogee,0.0,0.0,0.0,0.8629032258064516,0.13709677419354838,cluster-4
Coolbellup,0.0,0.0,0.0,1.0,0.0,cluster-4
Coolbinia,0.0,0.0,0.0,0.42452830188679247,0.5754716981132075,cluster-5
Cooloongup,0.0,0.0,1.0,0.0,0.0,cluster-3
Cottesloe,0.0,0.0,0.0,0.09523809523809523,0.9047619047619048,cluster-5
Craigie,0.0,0.0,0.0,1.0,0.0,cluster-4
Crawley,0.0,0.0,0.0,0.7368421052631579,0.2631578947368421,cluster-4
Currambine,0.0,0.0,1.0,0.0,0.0,cluster-3
Daglish,0.0,0.0,0.0,0.35384615384615387,0.6461538461538462,cluster-5
Dalkeith,0.0,0.0,0.0,0.014492753623188406,0.9855072463768116,cluster-5
Darch,0.0,0.0,0.0,1.0,0.0,cluster-4
Darling Downs,0.9821428571428571,0.017857142857142856,0.0,0.0,0.0,cluster-1
Darlington,0.984251968503937,0.0,0.0,0.0,0.015748031496062992,cluster-1
Dayton,1.0,0.0,0.0,0.0,0.0,cluster-1
Dianella,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,cluster-4
Doubleview,0.0,0.0,0.0,0.7362637362637363,0.26373626373626374,cluster-4
Duncraig,0.0,0.0,0.0,0.9130434782608695,0.08695652173913043,cluster-4
East Cannington,0.06306306306306306,0.0,0.0,0.9369369369369369,0.0,cluster-4
East Fremantle,0.0,0.0,0.0,0.43434343434343436,0.5656565656565656,cluster-5
East Perth,0.0,0.0,0.0,1.0,0.0,cluster-4
East Victoria Park,0.0,0.0,0.0,0.9882352941176471,0.011764705882352941,cluster-4
Eden Hill,0.0,0.0,0.0,1.0,0.0,cluster-4
Edgewater,0.0,0.0,0.008849557522123894,0.9911504424778761,0.0,cluster-4
Eglinton,0.0,0.0,1.0,0.0,0.0,cluster-3
Ellenbrook,1.0,0.0,0.0,0.0,0.0,cluster-1
Embleton,0.0,0.0,0.0,1.0,0.0,cluster-4
Ferndale,0.0,0.0,0.0,1.0,0.0,cluster-4
Floreat,0.0,0.0,0.0,0.13821138211382114,0.8617886178861789,cluster-5
Forrestdale,0.7692307692307693,0.0,0.0,0.038461538461538464,0.19230769230769232,cluster-1
Forrestfield,1.0,0.0,0.0,0.0,0.0,cluster-1
Fremantle,0.0,0.0,0.0,0.7761194029850746,0.22388059701492538,cluster-4
Gidgegannup,0.8214285714285714,0.17857142857142858,0.0,0.0,0.0,cluster-1
Girrawheen,0.0,0.0,0.0,1.0,0.0,cluster-4
Glen Forrest,1.0,0.0,0.0,0.0,0.0,cluster-1
Glendalough,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664,cluster-4
Gnangara,0.0,0.0,0.0,0.46875,0.53125,cluster-5
Golden Bay,0.0,0.0,1.0,0.0,0.0,cluster-3
Gooseberry Hill,0.8923076923076924,0.0,0.0,0.0,0.1076923076923077,cluster-1
Gosnells,1.0,0.0,0.0,0.0,0.0,cluster-1
Greenmount,1.0,0.0,0.0,0.0,0.0,cluster-1
Greenwood,0.0,0.0,0.0,1.0,0.0,cluster-4
Guildford,0.33774834437086093,0.0,0.0,0.5298013245033113,0.13245033112582782,cluster-4
Gwelup,0.0,0.0,0.0,0.768361581920904,0.23163841807909605,cluster-4
Hamersley,0.0,0.0,0.0,1.0,0.0,cluster-4
Hamilton Hill,0.0,0.0,0.0,1.0,0.0,cluster-4
Hammond Park,0.0,0.0,0.1188118811881188,0.8811881188118812,0.0,cluster-4
Harrisdale,0.0070921985815602835,0.0,0.0,0.9787234042553191,0.014184397163120567,cluster-4
Haynes,0.8529411764705882,0.0,0.0,0.14705882352941177,0.0,cluster-1
Hazelmere,0.9736842105263158,0.0,0.0,0.0,0.02631578947368421,cluster-1
Heathridge,0.0,0.0,0.6048387096774194,0.3951612903225806,0.0,cluster-3
Helena Valley,0.9939024390243902,0.0,0.0,0.0,0.006097560975609756,cluster-1
Henley Brook,0.9942528735632183,0.0,0.0,0.0,0.005747126436781609,cluster-1
Herne Hill,0.9841269841269841,0.0,0.0,0.0,0.015873015873015872,cluster-1
High Wycombe,1.0,0.0,0.0,0.0,0.0,cluster-1
Highgate,0.0,0.0,0.0,0.7894736842105263,0.21052631578947367,cluster-4
Hilbert,1.0,0.0,0.0,0.0,0.0,cluster-1
Hillarys,0.0,0.0,0.0,0.6285714285714286,0.37142857142857144,cluster-4
Hillman,0.0,0.0,1.0,0.0,0.0,cluster-3
Hilton,0.0,0.0,0.0,1.0,0.0,cluster-4
Hocking,0.0,0.0,0.0,1.0,0.0,cluster-4
Hopeland,0.0,0.25,0.75,0.0,0.0,cluster-3
Hovea,1.0,0.0,0.0,0.0,0.0,cluster-1
Huntingdale,0.9672131147540983,0.0,0.0,0.03278688524590164,0.0,cluster-1
Iluka,0.0,0.0,0.7884615384615384,0.0,0.21153846153846154,cluster-3
Inglewood,0.0,0.0,0.0,0.7431192660550459,0.25688073394495414,cluster-4
Innaloo,0.0,0.0,0.0,1.0,0.0,cluster-4
Jandabup,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,cluster-5
Jandakot,0.0,0.0,0.0,0.9668874172185431,0.033112582781456956,cluster-4
Jane Brook,1.0,0.0,0.0,0.0,0.0,cluster-1
Jarrahdale,0.9908256880733946,0.009174311926605505,0.0,0.0,0.0,cluster-1
Jindalee,0.0,0.0,1.0,0.0,0.0,cluster-3
Jolimont,0.0,0.0,0.0,0.33962264150943394,0.660377358490566,cluster-5
Joondalup,0.0,0.0,0.9038461538461539,0.09615384615384616,0.0,cluster-3
Joondanna,0.0,0.0,0.0,0.9382716049382716,0.06172839506172839,cluster-4
Kalamunda,1.0,0.0,0.0,0.0,0.0,cluster-1
Kallaroo,0.0,0.0,0.05,0.6857142857142857,0.2642857142857143,cluster-4
Karawara,0.0,0.0,0.0,0.989010989010989,0.01098901098901099,cluster-4
Kardinya,0.0,0.0,0.0,0.9508196721311475,0.04918032786885246,cluster-4
Karnup,0.0,0.0,1.0,0.0,0.0,cluster-3
Karragullen,1.0,0.0,0.0,0.0,0.0,cluster-1
Karrinyup,0.0,0.0,0.0,0.591304347826087,0.40869565217391307,cluster-4
Kelmscott,1.0,0.0,0.0,0.0,0.0,cluster-1
Kensington,0.0,0.0,0.0,0.6690647482014388,0.33093525179856115,cluster-4
Kenwick,0.9931506849315068,0.0,0.0,0.0,0.00684931506849315,cluster-1
Kewdale,0.0,0.0,0.0,1.0,0.0,cluster-4
Keysbrook,0.0,0.4,0.6,0.0,0.0,cluster-3
Kiara,0.0,0.0,0.0,1.0,0.0,cluster-4
Kingsley,0.0,0.0,0.0,1.0,0.0,cluster-4
Kinross,0.0,0.0,1.0,0.0,0.0,cluster-3
Koondoola,0.0,0.0,0.0,1.0,0.0,cluster-4
Koongamia,1.0,0.0,0.0,0.0,0.0,cluster-1
Kwinana Town Centre,0.0,0.0,1.0,0.0,0.0,cluster-3
Landsdale,0.0,0.0,0.0,1.0,0.0,cluster-4
Langford,0.0,0.0,0.0,1.0,0.0,cluster-4
Lathlain,0.0,0.0,0.0,0.927536231884058,0.07246376811594203,cluster-4
Leda,0.0,0.0,1.0,0.0,0.0,cluster-3
Leederville,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,cluster-4
Leeming,0.0,0.0,0.0,0.99,0.01,cluster-4
Lesmurdie,1.0,0.0,0.0,0.0,0.0,cluster-1
Lockridge,0.0,0.0,0.0,1.0,0.0,cluster-4
Lynwood,0.0,0.0,0.0,1.0,0.0,cluster-4
Maddington,0.9879518072289156,0.0,0.0,0.0,0.012048192771084338,cluster-1
Madeley,0.0,0.0,0.0,1.0,0.0,cluster-4
Mahogany Creek,1.0,0.0,0.0,0.0,0.0,cluster-1
Maida Vale,0.9657142857142857,0.0,0.0,0.0,0.03428571428571429,cluster-1
Manning,0.0,0.0,0.0,0.7916666666666666,0.20833333333333334,cluster-4
Marangaroo,0.0,0.0,0.0,1.0,0.0,cluster-4
Mardella,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,cluster-1
