SUBURB,avg(PRICE),avg(LAND_AREA),avg(FLOOR_AREA),avg(PROPERTY_AGE),avg(PRICE/FLOOR($/m2)),avg(PRICE/LAND($/m2)),avg(Land/Floor)
Hamilton Hill,500102.5641025641,671.025641025641,136.98717948717947,41.51282051282051,3854.6552146180593,899.351120703826,5.382238510236602
Watermans Bay,1196421.25,647.35,209.0125,26.592105263157894,6203.204544990847,2127.9431746909568,3.5112214447619374
Hazelmere,627307.6923076923,4093.5384615384614,160.65384615384616,37.69230769230769,4309.490785511784,419.78920035627203,27.447816021753326
Piara Waters,518168.2242990654,488.33644859813086,191.39252336448598,7.16,2768.1087892375804,1110.049564169949,2.56157379406751
Canning Vale,589988.3846153846,696.8846153846154,215.40384615384616,18.707482993197278,2787.2473523363146,954.791584541415,3.2019497405232786
Cottesloe,1646283.3333333333,494.82608695652175,187.5072463768116,49.78260869565217,9147.563882727858,4407.588259510805,3.0679147052248257
Gidgegannup,792695.4022988506,73836.6091954023,220.33333333333334,21.05952380952381,3812.2954809007874,31.915932667559993,395.92475653064974
Wilson,576334.0,625.4935064935065,156.7922077922078,29.95774647887324,3891.142944841946,1144.0220659712488,4.345797513707831
Brigadoon,852636.3095238095,23114.333333333332,251.28571428571428,13.282051282051283,3688.7648176956873,38.99857589026107,104.54503097064227
Joondalup,521552.8703703704,589.9166666666666,172.7037037037037,21.952380952380953,3137.79248622918,1119.830675982552,3.6956991526808443
Carabooda,1126750.0,42177.6,223.4,27.5,5165.77046515776,35.92672238380491,199.7497087386912
Port Kennedy,367967.20430107525,624.8064516129032,180.9731182795699,18.466257668711656,2067.1282870711693,604.1505778196524,3.5821155648423804
Guildford,761602.0408163265,745.2993197278912,165.51020408163265,73.95714285714286,4841.005338781522,1263.491080747947,4.5270557745276445
Ascot,803359.1666666666,612.1583333333333,204.69166666666666,21.78813559322034,4131.198385690888,1917.96627048006,3.396062705059008
Hovea,841548.3870967742,21439.58064516129,221.2258064516129,32.87096774193548,4117.966895451533,57.94666968082106,106.75655218630536
Jarrahdale,542201.1363636364,5581.477272727273,184.63636363636363,29.71264367816092,3158.101144380126,280.19679413829465,30.72067446374821
Munster,1030000.0,20000.0,218.0,40.0,4724.770642201835,51.5,91.74311926605505
West Perth,681065.2173913043,222.6086956521739,114.78260869565217,39.17391304347826,5882.520897676627,3669.6276904624747,1.9217405290112357
Woodbridge,613264.7058823529,601.9705882352941,161.89705882352942,46.86538461538461,3968.575406758904,1371.4794272149331,3.9262640208444104
Cockburn Central,492742.42424242425,494.8787878787879,149.63636363636363,13.121212121212121,3594.8113218171707,1635.7338987595883,3.02591226204938
Casuarina,797567.8214285715,13071.785714285714,234.39285714285714,22.962962962962962,3704.2657013113244,78.79396577478973,65.54374193476306
Harrisdale,546854.4362416108,501.4161073825503,202.93288590604027,8.020833333333334,2759.072433000821,1151.9297308415344,2.589736390967441
Peppermint Grove,1798260.0,680.4,208.16,40.82608695652174,9203.518440819269,3215.183194453424,3.4412666911662706
Parmelia,277053.0701754386,684.5087719298245,128.40350877192984,30.846153846153847,2236.9124009485463,416.6999858286384,5.705117033523239
Tapping,488820.70707070705,587.7676767676768,203.1161616161616,12.432584269662922,2450.28051786367,845.7610418136499,2.9758983499437863
Kallaroo,813718.75,746.2430555555555,225.22916666666666,32.319148936170215,3884.530794186264,1180.7348627325136,3.804000214203228
Scarborough,726936.6885245901,379.7049180327869,159.55737704918033,31.933333333333334,4768.356652294588,2228.113951176306,2.4828128085491983
Shelley,958238.0769230769,661.6153846153846,199.73846153846154,31.338709677419356,5028.302557893363,1692.4833410943418,3.4496444759958536
Pickering Brook,998333.3333333334,19504.5,200.33333333333334,28.2,4874.232380563779,142.12572351829894,89.21214265540436
Dalkeith,1951092.3424657534,934.8219178082192,263.986301369863,50.61971830985915,8397.9758031197,2214.159726065632,4.021077067295554
North Beach,1038234.5360824743,494.340206185567,189.7835051546392,28.692307692307693,6006.654420359541,2479.708712297793,3.036231141790576
Warnbro,381915.5779220779,810.4935064935065,163.1883116883117,27.6875,2350.8040205352236,504.7469969782483,4.95926407865881
Midvale,362367.9404761905,772.1190476190476,125.76190476190476,39.40506329113924,3179.932181350834,600.8491202424392,6.550036713988308
Eglinton,391879.7368421053,643.421052631579,164.71052631578948,3.6714285714285713,2474.0824354081988,1026.4263453198112,4.9436720831119025
Banjup,1103590.25,20072.15625,248.90625,23.533333333333335,4761.899944861532,86.74863023164883,89.90806639938101
Bedfordale,748650.234375,9886.625,247.5390625,17.50925925925926,3368.7881538306956,167.97913119056318,50.08108332650629
Dayton,464128.3783783784,834.1621621621622,166.1216216216216,3.3692307692307693,2874.9051710989957,1205.7003672960898,5.2321834239887135
Hocking,500639.34426229505,577.6448087431694,191.224043715847,15.292817679558011,2688.2381578140057,889.7536513041068,3.1410310205798746
Waikiki,380884.05797101447,640.9130434782609,166.06521739130434,23.125925925925927,2335.0901149053857,618.7628553425152,4.156604075083838
Kensington,929288.2739726028,572.5068493150685,177.32876712328766,60.172661870503596,5549.328302822887,1754.9313779925196,3.5369834590542286
Beldon,490010.55555555556,706.1176470588235,136.45751633986927,30.92517006802721,3741.063099258612,700.6294981967329,5.430419388034473
Nollamara,352064.10256410256,327.1794871794872,110.97435897435898,18.641025641025642,3243.544840072715,1278.020995035685,3.0710483888924323
Mount Claremont,1279029.725925926,617.1851851851852,227.11111111111111,25.2406015037594,5981.87626860625,2471.9771398616335,3.0569520879689946
Burns Beach,898548.3181818182,566.9090909090909,277.45454545454544,8.416666666666666,3333.831030388952,1607.0072336451058,2.216538611694409
Heathridge,463023.828125,673.78125,140.4765625,32.0703125,3438.691888824371,771.1976293670909,5.15185306122807
Lockridge,354943.00662251655,595.9867549668874,110.76821192052981,33.691275167785236,3312.682489781495,692.4894918765871,5.653726051276939
Palmyra,680308.1395348837,522.7906976744187,145.1046511627907,37.25316455696203,4932.36117212417,1501.885160427433,3.818424355011113
White Gum Valley,754035.3434343435,533.070707070707,158.68686868686868,39.81318681318681,5024.004693288953,1680.894457443787,3.6378043219300418
Burswood,975228.5714285715,533.7428571428571,202.71428571428572,24.666666666666668,4913.022701230111,2738.931382153721,2.8556452921214657
Orange Grove,846100.0,11842.066666666668,193.13333333333333,37.69230769230769,5287.079400585139,99.8178863889994,76.0532847151744
